aggregate,pts_english,pts_core_maths,pts_biology,pts_chemistry,pts_physics,pts_elective_maths,pts_integrated_science,pts_social_studies,trait_analytical,trait_empathy,trait_practical,trait_creative,logic_accuracy,quant_accuracy,scientific_accuracy,verbal_accuracy,label_programme,archetype,band_pool,ability
12.0,2.0,4.0,1.0,9.0,2.0,1.0,2.0,2.0,46.67009171771476,52.073077838177085,65.19073726729744,52.33143991502699,65.27634612598806,65.797330213668,70.00126589637121,44.17662949685729,BSc Automobile Engineering,science,eligible,strong
15.0,5.0,4.0,1.0,1.0,1.0,5.0,3.0,3.0,47.927127888250766,73.9557580653478,50.78700197534366,45.617432212946674,58.44767597901059,51.22033932689672,72.28843768153703,77.07237959489736,BSc Midwifery,health,eligible,strong
16.0,4.0,3.0,1.0,3.0,5.0,1.0,5.0,4.0,63.739828629815605,70.98467408114917,67.66117833466541,56.58630018394364,86.15901789251689,71.58489738107448,82.41982265195588,50.551435696979375,BSc Materials Engineering,science,eligible,mid
11.0,1.0,3.0,1.0,3.0,2.0,3.0,3.0,1.0,64.56300716346544,34.516043571318804,34.79423950339402,50.491731393143915,41.75159775928309,54.932895839051284,74.68014207326866,72.32968054160044,BSc Food Science and Technology,science,eligible,strong
14.0,4.0,3.0,7.0,1.0,1.0,3.0,2.0,6.0,91.02707333983557,48.49317030205753,73.51601339048044,54.05514858922589,47.04982102890928,62.787069796394704,52.712162013214616,60.750907965302424,BSc Industrial Engineering,engineering,eligible,mid
20.0,6.0,1.0,4.0,4.0,3.0,2.0,6.0,5.0,44.94716561900229,69.06381542275712,63.13450853564761,51.61820666514549,79.64326027290791,40.966106884116115,36.22529178840791,30.980830943217196,BSc Meteorology and Climate Science,engineering,eligible,mid
12.0,2.0,1.0,1.0,3.0,9.0,4.0,3.0,2.0,52.305828792528125,47.95164144985436,62.30792713126128,44.093882416631416,67.81750883598168,61.01241812126931,68.23686749007804,67.4427856303611,BSc Chemistry,mixed,eligible,strong
27.0,2.0,4.0,5.0,4.0,6.0,8.0,7.0,6.0,42.43902664258807,61.08399471701897,27.791952311524756,36.677992193995216,54.62974967888356,67.05377529067903,95.0,34.267277269344405,BSc Sport and Exercise Science,health,stretch,weak
15.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,5.0,49.85820773703431,47.84713274731402,66.00833624857975,45.02767741854118,76.71888666866066,60.75065669773706,68.03293704694983,60.23163841069443,BSc Industrial Engineering,health,eligible,mid
9.0,2.0,3.0,1.0,1.0,9.0,4.0,1.0,1.0,84.05846743644275,86.58990054860948,35.56863325487559,55.21562678676435,53.893826454745124,50.73454242939857,72.77988474123073,64.2875667546309,BSc Medical Imaging,health,eligible,strong
23.0,4.0,6.0,5.0,6.0,2.0,3.0,4.0,4.0,84.18728865825098,54.98377854470144,86.27930506668865,55.497971108558446,55.70626899666462,71.80948368963044,50.36990416680381,69.03320688197724,BSc Sport and Exercise Science,engineering,eligible,mid
9.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,6.0,50.540149559535465,46.492162095236075,48.708490222684276,61.86209182535121,65.16967839354079,75.02489027161995,59.67441576653861,68.46723112615823,BSc Mechanical Engineering,science,eligible,strong
24.0,5.0,3.0,5.0,2.0,5.0,9.0,4.0,6.0,31.513613917292286,54.562063539766825,41.91843023573385,67.21718991100346,24.086095426492925,53.20151337343747,44.702977731488474,42.606558004540716,BSc Sport and Exercise Science,science,eligible,mid
20.0,3.0,4.0,2.0,4.0,4.0,3.0,5.0,4.0,39.51605994133244,26.33292318598387,36.66804030153622,48.93979427521893,65.01442692746572,65.76713087828243,58.51697083855431,68.50276846029945,BSc Agricultural Biotechnology,science,eligible,mid
10.0,2.0,2.0,1.0,3.0,4.0,2.0,2.0,1.0,18.851170513001875,27.654785096020007,45.59331619771805,33.918004678597114,70.71594723945988,94.95944796121991,52.35077920856047,42.43804893872211,BSc Petroleum Engineering,mixed,eligible,strong
22.0,4.0,2.0,9.0,4.0,3.0,9.0,6.0,3.0,46.99821479252913,38.82542516675686,70.43963959705012,34.391209212313505,23.80829503605765,89.16405492517842,95.0,48.92096101826002,BSc Sport and Exercise Science,science,eligible,mid
17.0,3.0,2.0,3.0,3.0,2.0,6.0,7.0,4.0,35.93826868278123,44.03992591739173,52.465860544659535,44.14304075805785,87.71737519434069,52.38740899292563,95.0,38.443889533269896,BSc Metallurgical Engineering,health,eligible,mid
9.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,36.52883487269149,56.77266054912202,74.0855463291136,39.29187763945274,40.24754683412638,77.53711844471506,60.240259338406446,90.7390342402611,BSc Chemical Engineering,engineering,eligible,strong
10.0,1.0,2.0,9.0,1.0,1.0,9.0,2.0,3.0,51.83964978455265,51.761636138438035,26.547830781969672,60.28623552911993,54.73571426673033,39.66579577529006,68.55731594615001,71.92028286023954,BSc Biochemistry,health,eligible,strong
23.0,6.0,4.0,5.0,1.0,9.0,3.0,4.0,5.0,67.10512422916706,20.70192008412345,16.290971669887163,65.0261809647726,77.81587639892905,49.69065470729994,42.10246890181557,56.485522315108014,BSc Sport and Exercise Science,science,eligible,mid
18.0,3.0,2.0,2.0,2.0,3.0,8.0,6.0,6.0,73.74497900565666,79.53056714291915,61.10021354456504,59.55359425058315,65.1118711200316,28.24583305428725,71.25431616115836,46.65712061726312,BSc Agricultural Biotechnology,health,eligible,mid
24.0,5.0,4.0,5.0,9.0,9.0,1.0,5.0,4.0,68.41319992770114,45.17168158637199,53.73180964701624,50.66318567156297,56.956290228066784,48.7635920391757,67.73422183589607,43.8085261502123,BSc Sport and Exercise Science,science,eligible,mid
9.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,53.016570152032415,26.336911817086957,45.21340104483653,53.25846792215787,56.96875131915894,56.331588378835164,73.79327222454849,47.44063387884084,BSc Aerospace Engineering,science,eligible,strong
21.0,5.0,4.0,5.0,4.0,6.0,2.0,3.0,3.0,34.90748350345593,50.939008116462354,93.4215730270536,33.08328852662429,54.30290232315157,53.70662124157069,41.584809308837066,50.1060699246544,BSc Physics,engineering,eligible,weak
26.0,6.0,4.0,5.0,2.0,4.0,6.0,8.0,5.0,68.62902039838167,70.4662838165673,54.17863871767709,50.209778327979386,65.04874689908152,61.37448846154224,40.945496009418775,64.998590029143,BSc Sport and Exercise Science,health,stretch,mid
8.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,25.621128394044533,44.81521060606033,46.68549023320469,48.4486982963805,59.58026315204673,68.38339759265271,84.2147441477245,38.333426486236625,BSc Mechanical Engineering,science,eligible,strong
9.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,62.18313307780692,46.96536895110821,55.845375579800034,51.538297755894,57.78836265122749,78.82414160723894,60.66688832057923,85.90447255786117,BSc Mechanical Engineering,health,eligible,strong
9.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,41.9949211551486,71.78838791691088,41.428261712048936,47.50763237075402,88.23262320306074,52.45420305369433,76.2068847578532,51.515960051136474,BSc Nursing,health,eligible,strong
19.0,3.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,59.340387354356665,39.66452526643448,55.037618853995355,10.0,65.74328604577575,20.0,44.14804888891873,61.776529014114764,BSc Sport and Exercise Science,mixed,eligible,strong
15.0,4.0,1.0,4.0,9.0,3.0,5.0,2.0,1.0,43.86711859003845,83.86536635781151,50.51917811277883,45.75806376278645,58.40727104066136,58.34683027609249,79.2522129953467,40.00431656995928,BSc Materials Engineering,health,eligible,strong
18.0,2.0,4.0,4.0,1.0,3.0,4.0,5.0,5.0,50.4607036079433,37.75814761913033,63.0583341412959,72.18911766011345,86.91555081900538,84.72211807258857,68.35398727554724,60.290802445395144,BSc Metallurgical Engineering,science,eligible,mid
25.0,5.0,3.0,4.0,4.0,9.0,5.0,4.0,5.0,76.63457186779367,37.48882884364626,25.173569852222244,34.324344356205465,44.68432258982517,65.782599779863,65.89224241680644,49.94752048539111,BSc Sport and Exercise Science,mixed,stretch,mid
20.0,4.0,4.0,2.0,4.0,2.0,9.0,4.0,5.0,47.081235440135295,44.97911022834977,64.79204475441152,41.633429810158646,72.08517958863752,75.16102053038453,55.678122743037676,69.60841192326102,BSc Meteorology and Climate Science,mixed,eligible,mid
13.0,2.0,1.0,6.0,2.0,3.0,1.0,4.0,4.0,81.16757877023944,46.77521870082307,76.6709022729285,47.69472343456973,81.81075272186187,58.15293283662916,71.98351858268872,45.33449319680466,BSc Automobile Engineering,engineering,eligible,mid
10.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,58.65628720602472,42.73128529880436,56.488916775892285,50.92874725519939,61.65593588418328,58.87500255759996,49.02835510301724,31.845621962168778,BSc Chemical Engineering,science,eligible,strong
23.0,4.0,3.0,5.0,3.0,4.0,4.0,5.0,5.0,82.79490860019754,28.539934881794345,80.51084735289379,29.66279043310169,48.081008173124175,84.55347601712131,67.60330244041296,77.31097434528795,BSc Sport and Exercise Science,engineering,eligible,mid
25.0,4.0,4.0,7.0,4.0,9.0,4.0,5.0,4.0,81.57011863401524,43.523309965381806,46.341558347339934,18.538235635847876,46.58688972030784,61.05389863315471,59.71220985735036,75.72561390066696,BSc Sport and Exercise Science,mixed,stretch,mid
15.0,4.0,3.0,2.0,5.0,1.0,2.0,3.0,4.0,70.45293104729096,72.76086746907349,64.43986358730263,54.08967895148193,51.577754598256746,65.46725258500007,71.65919683868016,55.020097701317304,BSc Metallurgical Engineering,health,eligible,mid
9.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,84.0069022778228,74.4072690117454,31.58000178766254,36.10200333264274,82.27378180100777,49.12578423743544,50.16188300062481,47.707088039514296,BSc Aerospace Engineering,science,eligible,strong
12.0,1.0,1.0,2.0,6.0,4.0,4.0,2.0,2.0,21.253243330725887,27.069615385528458,69.87433519072447,49.33345748443468,79.35845643481761,71.16473865351313,81.73838238572739,41.486545070431376,BSc Geological Engineering,mixed,eligible,strong
11.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,74.15471248297065,29.98062850865184,75.25379314307034,42.03535243166428,75.67309218681642,66.01979939076634,63.81775932314549,27.884547103376008,BSc Automobile Engineering,mixed,eligible,strong
10.0,4.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,68.2926351400508,44.25661743672626,68.26751681051599,37.45914327731319,69.93122301872629,74.75373508367547,63.9033204235835,78.05448480876467,BSc Telecommunication Engineering,engineering,eligible,strong
23.0,3.0,4.0,4.0,7.0,9.0,5.0,6.0,1.0,35.10405845022177,44.65149433724451,80.05264115602013,62.36299429693794,62.54559817714218,58.41419134842594,64.0814072219591,23.062031661999736,BSc Sport and Exercise Science,mixed,eligible,mid
16.0,5.0,1.0,4.0,3.0,1.0,2.0,5.0,4.0,58.87850979273429,58.1481540612228,74.0514315129593,56.17957373190131,87.89242211434967,72.02829167759305,64.86832015649769,95.0,BSc Materials Engineering,engineering,eligible,mid
18.0,4.0,1.0,9.0,7.0,3.0,1.0,5.0,4.0,85.8279772166585,73.69432211597629,76.99266493295966,44.35681844324803,52.39342079357637,58.84490039982336,51.19055982928329,49.33290200862592,BSc Metallurgical Engineering,engineering,eligible,mid
16.0,5.0,1.0,5.0,2.0,1.0,4.0,3.0,5.0,83.63319764999842,23.852708565782844,87.73796112628986,45.14022836755355,56.93895727427348,57.625165775517736,46.29022895881623,65.42005917442613,BSc Metallurgical Engineering,engineering,eligible,mid
20.0,4.0,3.0,7.0,1.0,5.0,4.0,3.0,7.0,51.85886759440588,50.857958944792756,71.01779412550844,52.71971326792129,46.32834565294064,77.3664059357747,83.81726119592189,64.81989292671679,BSc Agricultural Biotechnology,science,eligible,mid
21.0,4.0,3.0,4.0,4.0,5.0,2.0,4.0,7.0,52.83958509917986,74.35060594725303,84.88669687822528,72.74660150884105,55.40151568069413,46.10169722694461,65.11682482720703,62.64847372714804,BSc Sport and Exercise Science,health,eligible,weak
12.0,1.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,57.68111444929491,60.75560367711838,49.6597208701153,40.6618977100167,43.92448009707384,49.695778875795334,53.44017046942508,59.841961961398724,BSc Marine Engineering,health,eligible,strong
24.0,4.0,3.0,8.0,6.0,4.0,4.0,3.0,6.0,88.43407864971519,15.037999606652104,44.7651027731346,53.1543693662922,49.27685157153736,84.68037893329871,50.27238415172164,25.982038964303232,BSc Sport and Exercise Science,engineering,eligible,weak
23.0,3.0,3.0,7.0,7.0,5.0,2.0,5.0,5.0,40.60858370287198,56.23834390801282,24.689784583799725,36.04602969094924,82.74552970088004,61.08650265498725,82.59883907699196,58.55433083078869,BSc Sport and Exercise Science,mixed,eligible,mid
16.0,1.0,2.0,6.0,6.0,3.0,4.0,3.0,3.0,67.13681966485366,42.81284312866776,44.119403061939025,52.0988646805867,47.75137338816638,47.797518767488384,55.89668186611425,45.47780254042815,BSc Metallurgical Engineering,mixed,eligible,mid
8.0,1.0,1.0,3.0,2.0,9.0,1.0,1.0,2.0,72.70461185690681,53.25303744039661,59.45396378653297,48.20950701084685,35.68629722537773,29.83485037371689,69.14148701837912,40.22507608413337,BSc Petrochemical Engineering,engineering,eligible,strong
24.0,3.0,2.0,6.0,6.0,5.0,5.0,6.0,3.0,50.31466837516195,65.3718164380089,57.62118657798598,52.92894547219659,56.73472959848015,59.24298611438382,74.32328594635486,51.21438812523275,BSc Sport and Exercise Science,mixed,eligible,mid
16.0,2.0,6.0,1.0,4.0,2.0,4.0,2.0,3.0,78.85678446874034,50.6259322783851,66.16765033617773,31.701863827377174,47.53845177591997,67.1890744121716,69.74443165993806,59.246028820149846,BSc Metallurgical Engineering,mixed,eligible,strong
15.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,4.0,67.40095956043196,64.09324153131996,78.0444545377134,44.21555027715258,56.453303700532295,41.4923436412183,60.82711301277311,28.602764384568015,BSc Materials Engineering,engineering,eligible,mid
18.0,5.0,3.0,4.0,2.0,3.0,2.0,5.0,3.0,57.67637796286154,26.26410043982921,56.15318023519327,43.013477527128835,95.0,38.93428107294302,73.05449768064702,38.08070464741496,BSc Metallurgical Engineering,science,eligible,mid
19.0,4.0,6.0,3.0,3.0,4.0,2.0,3.0,1.0,46.244794647907284,37.073608033267114,59.09436734163062,29.924263830142333,75.70972929110638,44.034707553223946,60.05947887467104,83.84419291099866,BSc Agricultural Biotechnology,science,eligible,mid
7.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,56.67025644097167,39.17050228399773,72.16090497462004,57.59874731285381,40.32295251334183,75.06842017420547,58.38022215606905,46.345054429337,BSc Computer Engineering,science,eligible,strong
12.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,5.0,45.548762346164956,54.14267688792589,34.2216909065238,47.835734322196174,41.749223724203894,67.6319043870645,56.23369693873729,95.0,BSc Food Science and Technology,health,eligible,strong
23.0,5.0,2.0,9.0,7.0,4.0,2.0,6.0,4.0,60.24876032011454,55.31641697399809,88.19325537584734,66.63754717238197,36.11980496637817,69.52328460219356,70.23272824724394,30.124966516266323,BSc Sport and Exercise Science,engineering,eligible,weak
14.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,5.0,62.15552690839687,44.99155354315562,50.59540289896343,64.41101461391696,30.707767049276278,35.39249195211555,74.10705767985279,54.89324717307226,BSc Geological Engineering,science,eligible,mid
24.0,5.0,4.0,5.0,2.0,6.0,7.0,5.0,3.0,51.60318123183792,56.20908076715183,50.861151071572365,33.240085969230876,66.21924427540054,73.6799245072275,71.31944344496503,58.29377390769916,BSc Sport and Exercise Science,mixed,eligible,mid
10.0,3.0,2.0,9.0,1.0,1.0,1.0,4.0,2.0,70.50993138372417,55.08171472644655,77.12692101022013,39.620994557380854,57.47022369899321,80.65615096580741,60.90065305381145,34.045569133733025,BSc Mechanical Engineering,engineering,eligible,mid
21.0,5.0,4.0,2.0,2.0,5.0,4.0,4.0,5.0,27.574070328377466,80.94743183523295,77.13371813124157,71.37993415205459,35.60873267060225,65.87282007334301,91.33159524885335,48.14785028892004,BSc Physics,health,eligible,mid
14.0,2.0,4.0,9.0,4.0,4.0,1.0,2.0,1.0,48.250444272030265,28.863960620321514,41.68141391539329,66.06956808394423,69.04405415632833,63.04960907752265,79.28657527697278,37.586320654198914,BSc Automobile Engineering,science,eligible,mid
26.0,6.0,4.0,7.0,7.0,3.0,8.0,1.0,5.0,70.4035861948093,16.177432041770427,66.93486651443025,49.17346851436566,42.1140700433635,56.25327391545963,54.741634883475385,67.99337801287793,BSc Sport and Exercise Science,mixed,stretch,weak
7.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,69.3048529372774,17.95715705373176,58.71758697898719,36.36345667094966,46.93175891961279,95.0,55.84617350754356,58.680565134929985,BSc Electrical Engineering,engineering,eligible,strong
23.0,4.0,6.0,9.0,3.0,3.0,5.0,4.0,3.0,34.59634843611738,75.86087539133344,58.17984892950591,53.47490666354776,74.47755739092999,56.31801455621091,75.88016406048635,59.55756138456344,BSc Sport and Exercise Science,health,eligible,mid
20.0,4.0,3.0,3.0,3.0,6.0,9.0,4.0,3.0,56.706222302292154,56.05254796380077,43.0616642551313,64.94832326747606,45.09453184340275,69.41889263837568,83.8395958418178,64.90056237685502,BSc Physics,mixed,eligible,mid
15.0,2.0,3.0,6.0,4.0,1.0,3.0,2.0,6.0,67.60710346656661,17.846800183697756,60.95920955454666,33.606571383518755,38.294931353774764,90.83539912993474,59.0929377703866,60.695313709209756,BSc Industrial Engineering,engineering,eligible,mid
8.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,41.27313010780748,51.10895840603203,55.805880940936156,32.69487625400359,62.376720757496024,80.33610838040708,81.65609438486348,53.57071319479098,BSc Chemical Engineering,science,eligible,strong
11.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,1.0,44.29270754171934,56.57811438554742,45.80484753300661,42.31907871021309,81.0132279046945,49.290692804242845,58.02769963367749,58.170797125724015,BSc Automobile Engineering,science,eligible,strong
10.0,2.0,1.0,3.0,2.0,1.0,1.0,3.0,3.0,77.89772369719797,78.09787960710602,62.143408321881466,56.334335286880396,76.02693100866448,66.47002871149074,90.06767678758249,49.32941062402785,BSc Telecommunication Engineering,engineering,eligible,strong
11.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,42.23770566425961,28.83625128594431,45.50520403916951,31.750944270658927,65.0256355130612,65.77547482142921,77.21542997145482,62.615926774573786,BSc Telecommunication Engineering,science,eligible,strong
13.0,4.0,1.0,4.0,1.0,2.0,2.0,3.0,7.0,75.55208248645432,47.59510709478339,42.15532649328314,47.29539465725699,60.21108124310257,61.772762513433065,42.799143814799855,46.9069722711829,BSc Marine Engineering,engineering,eligible,mid
21.0,5.0,3.0,3.0,4.0,4.0,2.0,5.0,5.0,55.1691654492799,43.528896472012384,40.26105620584796,27.716569951533927,61.39019169043506,53.474665106781316,71.28990221121437,43.0893468745172,BSc Sport and Exercise Science,science,eligible,mid
11.0,3.0,3.0,4.0,2.0,1.0,1.0,4.0,1.0,70.4254017193035,63.44063576475156,57.91009586752304,29.094912734507425,74.13890431349688,72.38445367907055,45.69222069027008,31.26749475809623,BSc Telecommunication Engineering,engineering,eligible,strong
11.0,1.0,2.0,3.0,1.0,3.0,1.0,3.0,3.0,57.0730769402992,42.0753017082032,57.16416094635156,61.84049833504558,69.12677604644519,61.785875861683024,42.30494483319279,48.167781267177745,BSc Telecommunication Engineering,science,eligible,strong
8.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,4.0,80.44513871571775,55.462324678815,95.0,64.56509503938781,36.29491023231698,71.69992272918356,72.12221152154827,73.04051209804219,BSc Computer Engineering,engineering,eligible,strong
16.0,7.0,2.0,1.0,2.0,3.0,4.0,1.0,3.0,74.36543582776203,73.92130619094952,62.39610964839887,54.18862330900343,80.53176947855344,55.83909025198601,77.44181062133178,60.49499400475066,BSc Chemistry,health,eligible,mid
15.0,3.0,3.0,7.0,5.0,2.0,1.0,5.0,1.0,51.71238790049918,48.91131576211751,69.49594840065787,42.626887607642516,61.26991921099145,95.0,67.51788321053587,70.74247908794979,BSc Marine Engineering,engineering,eligible,mid
16.0,1.0,3.0,5.0,2.0,3.0,2.0,6.0,5.0,37.22223129201524,12.203370318741484,52.25121695517536,54.85985384408217,78.13896852638067,88.57003724123551,93.5499772749842,40.02964610059183,BSc Materials Engineering,science,eligible,mid
20.0,6.0,4.0,4.0,2.0,3.0,1.0,4.0,4.0,64.51467220344111,45.6394653665662,68.69942948736815,45.89444006273347,71.85510872677055,42.00702682470939,47.2447866256846,65.26056869676071,BSc Sport and Exercise Science,engineering,eligible,mid
17.0,5.0,3.0,9.0,4.0,1.0,3.0,3.0,2.0,48.30895932311749,59.70286307507733,54.21759748465219,39.536641901055376,47.01090174251571,40.28755551428842,74.36099766800234,49.68118679122963,BSc Metallurgical Engineering,science,eligible,mid
19.0,6.0,1.0,1.0,4.0,6.0,4.0,3.0,5.0,48.46404867749891,71.51405187602732,67.00683908846018,81.6032709991722,51.347272902775316,54.74744914399861,95.0,32.16701087212857,BSc Meteorology and Climate Science,health,eligible,mid
25.0,5.0,2.0,5.0,5.0,5.0,3.0,6.0,6.0,69.35843714160626,38.128772974978084,81.53448807360618,62.28656253368207,51.97369269934932,58.95255984604927,63.116962573270605,42.58623638898008,BSc Sport and Exercise Science,engineering,stretch,weak
11.0,3.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,75.24194122914005,38.08460579128743,63.50151015065468,54.91619704927924,68.76253610028435,51.385737408490996,55.54721133421347,24.525706470054594,BSc Geological Engineering,engineering,eligible,mid
21.0,6.0,2.0,3.0,2.0,4.0,5.0,4.0,5.0,67.22974108257449,59.47349580599826,61.489331790893495,38.57012714259515,76.35989904132198,88.1596131608986,68.16874168042912,22.11184763788887,BSc Physics,health,eligible,mid
27.0,4.0,5.0,3.0,9.0,5.0,7.0,5.0,5.0,67.07320848793569,71.85610021617086,41.20226523620053,50.16474338873602,81.5399102665157,63.32860111419136,44.32790260404312,51.77133315135768,BSc Sport and Exercise Science,health,stretch,mid
13.0,1.0,1.0,6.0,4.0,3.0,3.0,4.0,1.0,52.375479449287326,60.68460180313899,37.01985751847249,25.67112309754686,69.21660184338712,74.46857492100722,77.20361728767651,61.11592554427058,BSc Marine Engineering,mixed,eligible,strong
15.0,3.0,3.0,6.0,1.0,4.0,1.0,4.0,3.0,67.59352136161378,66.52509266983402,72.35186513444859,55.38434660977207,60.69087207865673,84.92234931343695,95.0,72.00353054313437,BSc Materials Engineering,science,eligible,mid
21.0,1.0,4.0,7.0,4.0,5.0,3.0,4.0,5.0,40.13340526618974,59.51998206830797,48.695600365909684,55.09712861735646,66.90327959152594,79.91525702186478,71.24077302794784,76.15242992952903,BSc Sport and Exercise Science,science,eligible,mid
23.0,7.0,4.0,6.0,3.0,4.0,7.0,4.0,1.0,58.07060029030795,62.684318678874725,36.53760543718006,35.107297882490904,57.05252369402839,77.40759199431834,50.03684121079764,29.97948100166355,BSc Sport and Exercise Science,mixed,eligible,mid
13.0,1.0,1.0,5.0,5.0,1.0,4.0,3.0,3.0,95.0,66.99304229438522,57.74810231094616,49.36349284881338,61.3523524150136,50.206398342251035,54.164724210250085,55.07984290677551,BSc Industrial Engineering,engineering,eligible,mid
25.0,4.0,5.0,4.0,3.0,5.0,9.0,4.0,5.0,45.16384806351529,80.36593848800315,71.53967187202664,43.03429411706827,67.27797347216561,51.40574266848029,75.48231017557757,78.48669296804881,BSc Sport and Exercise Science,health,stretch,weak
10.0,3.0,1.0,5.0,2.0,1.0,3.0,1.0,2.0,54.050202104335604,39.514248215306864,70.9870457254413,64.31522493637546,67.42909419102897,67.18445471515827,75.89844665477241,42.07026467029937,BSc Chemical Engineering,mixed,eligible,strong
11.0,3.0,2.0,9.0,1.0,1.0,4.0,2.0,2.0,56.01333226121237,71.72400867371519,52.42879050927602,65.5905356737783,43.709481704487786,57.63550684247275,89.34894547927361,28.98082754594207,BSc Geomatic Engineering,health,eligible,strong
11.0,2.0,2.0,8.0,2.0,1.0,1.0,6.0,3.0,95.0,65.88106381461382,57.205932733115915,59.71361154592529,47.527158410004354,38.35448541730669,70.29266376496945,72.40139269965326,BSc Telecommunication Engineering,engineering,eligible,mid
10.0,3.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,30.745608997525807,61.99720711475681,63.33690976290511,41.869941447110435,49.58935014213537,27.679744871130424,95.0,67.38570462137965,DVM Veterinary Medicine,health,eligible,strong
27.0,5.0,5.0,5.0,8.0,5.0,3.0,6.0,4.0,60.77152816307489,46.41704987729457,50.162031272840224,49.15338354669339,51.349522666087466,58.257748553454434,92.19385560476402,53.37195050972265,BSc Sport and Exercise Science,science,stretch,weak
23.0,4.0,3.0,5.0,4.0,9.0,2.0,5.0,5.0,46.266522532965084,49.174994093557565,49.35935002640278,40.485035097116814,54.53357372903638,58.69237484844663,46.993060905111875,55.10810590564555,BSc Sport and Exercise Science,engineering,eligible,mid
