programme,track,wassce_biology,wassce_business_management,wassce_chemistry,wassce_core_maths,wassce_economics,wassce_elective_maths,wassce_english,wassce_financial_accounting,wassce_government,wassce_history,wassce_integrated_science,wassce_literature,wassce_physics,wassce_social_studies,trait_analytical,trait_creative,trait_social,trait_practical,trait_leadership,trait_empathy,logic_accuracy,quant_accuracy,verbal_accuracy,scientific_accuracy,xp,streak_days
law,Arts,5,6,3,3,4,6,1,4,4,1,3,1,4,5,77.41659719820838,32.25037940357872,80.15410402900811,34.22461112644349,92.74447216941239,48.7241246356308,44.8653763342863,46.06237232607792,72.55348773941124,62.80977407095214,318,16
economics,Business,3,4,3,2,1,1,3,3,3,5,4,4,4,3,89.7113629339993,34.665476528352755,45.88361677783791,63.62642639803341,49.59413947487567,10.872196690705099,87.74317742709479,100.0,48.690941182075896,48.9187045552383,750,13
journalism,Arts,3,5,5,3,5,6,2,4,2,4,3,2,4,6,53.25827266195042,96.6788761111952,73.96259302217993,50.87259166802792,63.19400263791229,56.30952752135218,39.29830524807073,46.60180522704289,69.24544158794623,38.44178060522702,685,6
marketing,Business,4,2,2,2,3,4,1,4,4,3,3,5,4,6,59.201885987249376,83.87703141262014,83.33072069891435,53.167758672007906,76.25085201248153,72.51725008565195,44.18035964452641,52.10711741389819,72.94258091522818,61.586979565606725,1120,10
electrical-engineering,Science,4,4,4,1,3,1,1,3,3,4,5,4,1,4,95.49173621441349,40.24041183885095,25.894251160785515,93.58548959274223,47.784638842692,36.474846907094744,77.63669377284437,94.71165642759922,59.76745745544506,73.55084365801791,805,9
public-administration,Business,3,5,4,3,2,5,1,3,1,4,4,5,3,3,69.4781371672271,40.58274330935446,80.48738818864126,48.12329009071548,82.78143726454627,61.58119084905109,55.96120769629296,55.351693689001195,55.15757270673674,40.36529270744128,960,19
pharmacy,Science,1,4,2,4,4,4,2,4,4,3,6,6,4,3,88.5501932429728,46.39626409497902,59.42545624204053,87.49665267043777,51.353711428612776,67.40014236304336,68.12034688846408,64.18636991261141,47.510363781282344,77.23402659217629,646,6
education,Arts,6,6,5,4,5,4,3,3,3,3,3,2,4,6,63.94213328513409,60.11445439091466,82.48787309801082,55.44212378104198,62.97086015204452,69.17572802611713,49.51265162171161,50.56964060380671,47.020366566797755,59.2724145019205,807,2
pharmacy,Science,2,5,2,3,3,3,3,4,5,5,4,3,3,4,77.97916754610596,34.22105891922344,57.52884814969899,69.9604225858939,38.71933916274626,63.114528343034394,58.27364313201934,70.048668621048,54.02984396666166,64.2783182550992,649,22
medicine-surgery,Science,1,2,1,2,4,4,3,2,4,5,3,4,1,3,76.7373799497696,59.27485283684504,83.3738667548752,66.64060774959853,79.0506021406447,85.35576476984625,71.14821818849346,58.35108679272598,57.90343317573815,85.94500976607355,1604,20
agriculture,Science,3,4,3,4,4,4,4,4,4,2,5,3,3,4,60.839810033144545,38.06493835427719,58.31031857667975,71.57824833629093,45.93056251227441,44.151258650669995,48.79720685385756,58.148876283806814,37.04984407386708,69.04620442959319,735,1
agriculture,Science,1,4,3,3,4,4,4,3,3,3,4,5,4,2,42.96007137389624,36.66963277203988,44.422711125047854,80.91611372745274,50.38581122980917,46.88253669177553,48.624752571295375,46.9338758293283,37.93538287860363,64.21902572033255,312,14
engineering-civil,Science,4,5,2,3,4,1,3,3,3,4,5,3,2,5,99.3630175656329,60.29413407125722,53.63428712085699,66.19201572025942,51.82093451371537,26.329947436765735,80.6353156718356,85.30100975955268,55.72956407865358,92.36630431132227,828,19
banking-finance,Business,4,4,4,2,3,3,3,3,3,4,5,5,4,5,86.90766708993819,47.003062582593216,57.893591569571115,51.44301684428965,68.35841256933024,5.694056241472243,69.01691943604948,40.69423081626936,40.6129052572753,67.18644893450933,845,6
journalism,Arts,5,4,6,4,5,6,2,3,2,3,3,1,4,5,55.34611874185256,77.1720425085243,83.93818069377424,47.23122018406166,66.1681419968978,55.00287771330619,30.590358309956102,46.15665747159075,64.63571352406703,41.26909888178077,784,14
medicine-surgery,Science,1,4,2,2,5,3,2,4,4,5,5,6,3,4,83.52720163026343,52.66822871784244,66.21177949299462,71.30764187911544,68.23753131876182,84.40717353974068,58.42930532414242,65.88965579936581,68.10492876543843,77.58210681867868,890,19
computer-science,Science,5,4,2,3,4,1,2,3,4,4,4,5,3,4,92.09828457328693,71.16134668002238,13.920466582225572,66.3556174773554,23.19789935510526,30.360599267977953,76.0120785088487,96.78391511297482,76.23334447777344,71.75168575800501,756,19
psychology,Arts,3,4,5,3,5,5,1,5,4,4,4,2,4,5,55.44374832598602,59.3751224861987,67.58244471121607,37.95931415561151,51.096477545740086,100.0,31.70334891883007,57.86486619711827,73.07376380913799,55.92249984192351,757,15
electrical-engineering,Science,5,4,4,1,4,1,3,5,4,4,3,4,1,3,87.26786046109136,63.19013197741396,63.09210861229503,82.13414914929099,64.3530015664544,32.437524804016476,72.42394905657467,90.91432770602749,58.133358264922464,69.56352394322515,734,7
agriculture,Science,1,5,3,3,4,5,4,3,5,5,4,5,5,5,66.14099177112624,50.98347047074883,55.19660573346503,74.02662325452957,57.007231568595856,36.44186028873446,41.71370024456267,58.65671889668995,54.41845539570335,76.74148384882477,679,6
pharmacy,Science,2,4,3,2,4,3,3,4,3,4,4,4,5,4,77.56103889822663,19.02549042389858,46.057926480205225,72.36926575543647,38.14147323823357,73.81707593377797,59.96101724594356,78.31976177419133,49.298735157182655,66.0661343608406,758,14
marketing,Business,6,1,2,3,3,5,3,3,5,5,4,5,4,3,61.97816839000005,81.10613122578678,85.01339846754487,59.72953572189574,45.49127871459913,45.8231582984043,36.492520784005066,44.48954849744957,59.18436088702912,44.03484533481563,430,6
agriculture,Science,4,4,3,2,2,4,3,4,3,3,4,4,4,3,68.54685730135562,36.997883033981495,56.32857914607307,84.89361323381807,36.23612500922052,46.83802295418812,55.94633858718795,62.36309450406792,51.27167342724095,72.81828831521511,1015,12
economics,Business,5,6,6,1,1,3,2,2,4,4,4,3,3,3,76.20490371341057,62.81632877276061,52.97511071185555,58.86759054404739,55.109225318810765,33.140433228139514,54.89402000574245,46.5273140633285,54.03919153976919,45.87652167418001,139,5
pharmacy,Science,1,5,2,3,3,4,3,3,5,5,4,3,2,4,83.27009868789315,32.074741695420855,55.265853413260984,80.70537036138485,51.18190714665301,75.51880120122489,70.60089600153093,52.39368827552627,64.88363801538834,75.73321756992222,1056,15
economics,Business,4,2,4,1,2,3,2,3,3,3,5,4,6,4,94.99336332474489,40.97413412957782,57.95778009744233,45.528423426700535,59.50441162448417,33.84501120701065,63.308224743606154,76.795324941603,65.89681887054249,70.746446556668,1199,24
economics,Business,4,3,4,1,3,2,2,4,2,2,5,4,4,3,84.76766289149634,60.035094104013424,58.24199619795863,51.697065451428124,55.60946089895062,31.05427148130606,51.60024833214803,80.26465594566855,71.27088368865752,50.32534425008397,614,7
agriculture,Science,1,4,1,4,5,4,1,3,5,1,4,3,5,3,64.03954020735611,50.65460419169093,68.3622583973002,82.9705805632463,53.76044369622611,35.14944520872564,60.293078610028005,50.47383725690031,65.64488752563622,69.03387970341315,377,15
education,Arts,4,3,4,4,3,3,3,4,3,5,5,3,7,4,47.02117236381505,64.27796398247133,84.38991029388895,49.73284608053792,54.676029804451524,100.0,48.625333945011704,56.04595142154639,65.18303521473105,49.23319049665384,665,16
law,Arts,3,5,6,4,4,4,1,4,2,3,3,2,4,5,63.73012089799136,63.28631066849436,87.45634960171873,49.59590525750073,64.8524522420646,63.29121071066053,53.85390115008135,43.65385420253773,72.46288306353235,58.0353121816635,881,14
public-administration,Business,5,5,1,3,2,2,3,5,1,3,3,3,5,4,69.62212489010625,21.28781883939013,93.6231756139488,56.02652446306499,78.17500157349738,65.75546509999894,49.78250701347064,84.63467091204251,46.66568556390658,56.754081346644405,633,10
marketing,Business,5,2,5,3,3,4,5,2,5,5,3,6,5,5,55.280221870258764,77.82773841781324,82.90591172960391,48.905305963195175,84.01186275033896,61.81314217861419,39.098561950031055,61.4014608731316,52.93475365472098,59.32134278865991,905,11
banking-finance,Business,3,3,4,1,1,1,1,3,3,4,3,5,4,4,100.0,50.164401005894035,51.93434378712942,49.06779815129641,61.744549884804684,40.09898248476536,79.15820692599304,86.83804683997222,81.77033020685114,66.58632086577731,1446,17
pharmacy,Science,3,4,2,2,3,4,3,4,3,3,3,2,3,5,79.86584213075191,17.395852426621477,53.09239539665451,73.37201003367393,65.95998750225439,45.42862087080444,55.55750024458239,73.3699898705069,52.07899721609668,75.96625722735698,814,16
computer-science,Science,3,5,2,2,4,1,2,3,3,4,3,4,1,5,76.1852093207118,59.33705084418994,28.75396591784821,83.25146728874839,48.30289945616592,27.882661974556058,72.0823601889137,68.37950308550485,64.02234145171073,91.33567621865164,876,16
accounting,Business,4,5,2,1,2,2,4,1,2,3,2,4,4,4,90.78879039029738,41.98519836516694,38.29611576643889,43.65306332523144,51.172815804922585,35.55360228508575,74.11952775640425,87.25959607252439,36.57841490134507,80.80668020657032,578,19
engineering-civil,Science,3,5,3,2,4,1,4,4,2,3,4,4,1,3,79.18278650797754,51.34530405885775,26.240864113984486,78.71628891880522,47.71389514740473,42.715332597619195,76.06436374191073,84.67007363688498,44.6327424448057,74.87423044870617,616,8
economics,Business,3,3,3,2,2,1,3,3,4,4,3,3,4,5,62.85812628956997,43.4572657980158,61.89622005287643,48.46974123793787,65.50202496026441,27.969309191021978,60.47413355056997,69.6043171114488,34.93670669225216,63.899564296673184,497,10
agriculture,Science,1,4,2,4,4,4,4,5,3,4,5,5,3,4,73.5812109586726,50.08079105199065,51.95263031479773,82.82315306565343,46.16199074292255,52.88219063090324,53.52161247946044,58.12561322337897,48.14494785931843,69.1497910596538,876,31
law,Arts,3,4,4,5,4,5,3,4,3,1,6,2,5,3,66.69230118394664,51.45938294144774,74.82962110662537,42.83068588009989,90.84515160929966,37.347796846971505,56.1367031657118,48.40471551645275,53.661621699293164,44.238768480104866,829,0
agriculture,Science,1,4,3,5,4,3,3,5,4,4,4,3,4,2,67.51796465835456,46.28621592491266,73.86951799573922,73.99864446275694,48.97337908959367,67.98287700923063,65.79009945150858,60.433896519031705,56.04898261197011,67.77138424882706,845,10
engineering-civil,Science,4,3,3,2,4,1,4,4,3,4,3,3,1,5,78.60496609112525,61.40213659328759,34.6168379713842,87.47947560851875,53.58604497856198,43.73056600092743,65.02399233981416,73.14076721820553,38.72483506774845,66.82646987579551,453,16
agriculture,Science,4,2,3,2,4,4,1,4,6,4,4,5,4,3,37.24263596278248,51.409907193949735,48.868315902711025,74.87316148611838,51.26596710277693,44.16319643193819,33.143908932467035,56.04885644142617,59.574922148199185,59.55131307742481,363,8
banking-finance,Business,6,5,4,1,1,2,3,2,4,4,3,4,5,3,80.10444488460722,26.802460712291563,56.113504293981116,51.11366818933182,79.77393664974669,40.06583154190254,55.80779711608592,82.64071306983102,44.163277292361805,56.9153624943619,837,11
banking-finance,Business,3,3,3,1,2,3,4,4,3,4,3,3,3,3,71.48112727101586,33.55715621479745,42.832815816135934,63.42126959137633,55.82246462582486,63.09568970096392,54.629488027792775,67.37236658953958,33.84870176723121,72.59307224632587,1022,15
pharmacy,Science,1,4,1,4,5,4,1,3,5,5,5,3,3,5,63.41664434417755,39.920954846267634,57.73842398308456,71.99235415153265,26.478381445987985,56.743018899262715,47.83987873004858,55.248749632453475,63.47641956585297,70.48089607732152,745,16
agriculture,Science,2,4,1,4,4,4,4,2,2,4,4,4,4,5,69.3263884299112,49.83982293951527,47.39171541595417,63.92310612385597,57.69236208037128,62.21728666217593,58.569661510827444,50.57813826704219,52.85831973724512,77.68215419266492,1149,8
psychology,Arts,3,5,4,2,5,5,2,4,3,6,3,2,4,5,50.026268299054635,41.89703250234561,59.62271492265282,40.326952252532706,38.81694182793456,86.15449889982084,45.30415966866098,39.87291189354815,62.72966268241604,48.61317722770261,862,15
marketing,Business,4,3,4,2,3,3,4,4,4,4,4,5,4,4,63.719343665194515,74.3819345647441,78.83807260009306,33.05634519275541,59.35527253873828,41.71604688558497,60.198302144721495,79.71518506970105,63.77901846071127,43.60712719054622,952,22
education,Arts,4,4,2,4,3,4,1,5,4,2,3,1,4,4,39.489805876519455,64.53018756312171,75.5002961813535,44.242640413547676,59.45427594359553,90.71304538929616,43.318398488301504,50.60775268331598,77.85887766034317,38.55964611186192,723,13
accounting,Business,4,3,4,2,1,4,1,1,5,4,3,3,5,2,91.28991100962017,29.448979009577105,28.076046695575663,59.16884927697309,34.82775658898359,38.662252008585284,70.2543779829128,48.25469313091567,62.66105885376074,57.98148800413183,1082,5
public-administration,Business,5,4,3,3,2,3,3,3,1,3,2,3,3,3,85.00963101590153,40.56411567169571,77.45371008995332,32.23601703657705,73.46036866363077,62.15302629941512,56.80858420464672,76.76642895132419,43.491250447130895,60.71196021784906,610,14
accounting,Business,4,4,3,2,2,2,3,2,4,4,4,6,3,5,61.06828838761895,32.17273158228624,55.750828276087304,69.88668524467307,46.70625078539793,24.395505311969245,57.03252179771792,71.44715515429694,45.1467334530064,53.50148159248672,790,8
law,Arts,3,3,5,4,4,5,2,5,2,2,4,3,4,4,79.34009823450107,52.51854415295005,60.95208452389673,51.226782545637384,79.05805424649166,43.8906890478428,64.18032203208153,55.873424219669445,52.8873728950067,74.0194921924121,935,14
accounting,Business,4,4,3,3,2,3,2,2,4,3,3,5,2,4,75.21916942246176,43.0824660687991,35.06531790846124,71.59484214251896,41.030861587622084,31.137481534861436,66.00427695859129,63.843388153895695,69.08893228974706,52.11616780988666,850,19
public-administration,Business,5,6,3,2,2,5,3,4,1,4,3,5,7,4,70.83108135657743,35.07140231104441,56.89786678913184,43.97280636969778,69.07104758901251,45.52995423584984,64.19442021425391,51.349116415521664,55.051781107120746,56.277145485403224,697,19
electrical-engineering,Science,4,4,3,1,2,1,3,3,4,4,2,3,2,4,73.4632508360024,51.58448050499735,45.22407225360472,95.77072958990898,49.04714212986065,25.320236866757078,61.696869543325164,88.43520843047774,56.87772788614257,72.07420729961832,851,20
medicine-surgery,Science,2,5,2,1,2,5,2,2,3,5,4,4,3,3,72.01846642245167,47.113864750482676,68.90454932053882,74.96343034340731,69.11238044568947,86.98578620681516,54.92430472273311,47.33001920996967,62.42435937599026,72.46581336716457,809,18
banking-finance,Business,4,3,4,1,2,4,2,2,5,4,6,4,4,3,78.48475264856707,37.48933910396658,63.4630406230773,58.19094834023574,77.59114849334736,34.050346894073286,55.335028085571494,81.07883138794851,63.15176901632956,55.28957342674173,608,8
electrical-engineering,Science,5,4,3,1,5,1,2,4,5,4,3,5,1,4,75.56046475277998,63.01158348652031,41.334215410273494,94.04993375678873,62.472114211424504,58.126492482387235,54.106423545108754,79.20508030353913,60.172916023907874,60.861582446772445,512,12
nursing,Science,2,4,3,3,5,4,4,4,2,3,2,4,4,4,80.10926112400514,40.489828740769106,82.26098361446334,70.68926512057897,40.00855108668988,90.36805499096955,60.188687679220386,44.92135968788538,44.155509565357555,69.14535500018958,673,8
pharmacy,Science,1,4,2,3,5,4,2,4,5,4,5,5,4,6,71.33583861340561,40.13898209332511,55.1127769661866,74.01926431467493,38.50737080389864,45.14437996768929,55.15935487493484,51.870322446297834,61.21574426464602,65.04840325043085,475,15
engineering-civil,Science,5,6,3,2,3,1,4,3,3,4,4,3,1,5,76.94006391168202,41.063275156338285,49.425936208997925,89.92296911938037,48.794813793513384,19.17832983873082,62.5130451043325,84.95037728754222,55.03803175033821,59.78936337454734,772,18
journalism,Arts,2,5,3,5,4,5,2,2,2,3,4,2,5,5,52.85725057445535,61.5366298887952,80.44518751145182,49.16368148138955,49.09552747449523,71.31274730121577,48.6957716653661,46.58638592525781,40.29708704725988,41.63246827064218,1137,8
agriculture,Science,3,4,4,4,4,4,4,6,5,3,4,5,5,4,71.64944445188128,54.27742399551205,75.7251743696973,77.49998263751489,44.925994235995745,46.938809515400465,50.65294502563044,50.95972289226742,26.254080753712465,55.51723754577932,767,8
law,Arts,6,4,5,4,5,4,3,4,2,3,4,2,6,4,79.19464892853249,62.57778950869443,86.4025328094428,40.11716417719365,56.16611297042638,60.167028186484664,40.59153039528183,71.34842763323634,58.871348871284965,67.75578683753565,532,4
agriculture,Science,2,4,3,6,5,5,4,5,4,2,4,5,3,4,53.08230256997687,60.020292518431305,57.494570154065634,91.5154062064396,56.21601313120971,49.62750747447873,43.12160154520846,36.13498386973683,32.01252267368172,64.62533981375326,744,18
computer-science,Science,5,5,3,1,4,4,4,5,4,3,5,3,2,4,100.0,61.45302697040322,10.607503614273845,75.04444647662469,38.00978146896074,30.42631024437747,68.05636239326302,61.56036803345785,56.11333004835828,60.23708097317834,639,18
pharmacy,Science,1,5,3,2,2,5,1,4,3,3,4,4,2,5,75.53930621541166,49.801908716718216,57.811731656434795,68.02442793403692,36.34060116167714,43.52503700952561,55.095518530640405,47.271160865071465,50.98281751883553,70.8760728824683,511,22
public-administration,Business,2,3,5,5,2,3,3,2,1,3,5,4,4,5,86.06884733278146,34.23151526851687,74.83163276266573,68.22055221342842,64.77800724808571,70.27581070553822,57.38789940750066,70.53354840338154,49.90535067450118,55.6565613942246,504,15
pharmacy,Science,1,4,2,2,5,5,5,4,4,5,5,4,3,4,71.72415759265338,35.89466011984985,55.89592767368435,84.95938684822258,38.95401383820459,41.576155379693276,35.52929905618101,39.26952698488161,26.67359027837047,72.78036120883674,364,7
medicine-surgery,Science,1,4,3,3,4,4,2,4,5,3,4,2,2,5,77.19931373119124,63.16526996140105,56.187615525639494,72.17440415303261,59.641752533340444,83.99702332556592,56.43507952155764,60.046702986314024,71.91672393998981,86.68168400955533,812,20
law,Arts,5,4,5,6,4,2,1,5,2,3,5,2,5,5,90.2170045273696,53.587960839062546,84.05259401493954,36.928729269142146,73.98539188440994,72.06767640418974,73.0881396742663,85.73244543237294,71.70751228310363,58.372976150851166,836,24
computer-science,Science,4,2,3,3,4,1,4,5,4,4,5,4,4,4,90.4468192548735,66.45514805335596,33.25031963285822,80.45640120209265,36.34657167898166,13.780748731697908,80.13893061057654,93.13927047551188,54.63295883076532,70.39587273340636,767,20
accounting,Business,4,4,6,1,2,1,3,1,2,4,4,2,5,5,94.90124342296572,33.58956440651471,40.46058138577116,78.28156620895797,61.82383585340098,41.33568702875625,69.91832089364445,90.59100751031252,55.23404203563437,51.49343727555188,918,28
banking-finance,Business,5,5,4,1,2,1,2,3,5,3,5,4,4,4,91.94350468124318,35.82718201863189,69.10161995301937,58.09412839759925,71.24184272469533,26.667374084627536,93.24102442626027,92.14730032188837,65.36941580648717,52.21756491468062,648,23
pharmacy,Science,1,5,1,4,4,4,4,3,3,4,5,3,1,5,73.97021687432996,36.07773987079717,36.43189598059834,68.21020685648018,44.92432703368849,69.30377857622892,49.565267107287866,71.80305233672597,39.23909978072103,76.7263306496176,1140,15
agriculture,Science,2,4,4,5,3,4,4,3,4,4,5,5,4,4,66.64292302055635,39.14811551072989,55.886401517374026,84.12093512630786,40.3060142226138,40.43163287120353,63.64793107852699,55.827212770964884,58.45245585333247,58.383786820447625,827,28
engineering-civil,Science,2,5,2,1,3,2,2,4,4,3,3,4,1,4,86.18796539902903,51.004510584115714,37.28623507068276,84.80098329093414,48.442565375676864,41.91062565866877,80.83180769792872,74.77254994224221,66.5824879686448,78.93945237623151,943,25
pharmacy,Science,2,2,2,4,4,5,2,3,4,2,4,5,1,3,69.67967754838422,39.3668014028904,51.342832143537905,88.99136381696087,54.543483290916974,64.95272946068599,51.004881288943196,52.08177372555546,53.47750143807109,82.76158609296816,480,18
education,Arts,4,4,5,1,4,4,2,5,3,2,4,3,4,4,65.39369044918553,49.139654469658524,81.7570045616485,67.8992969861824,47.65388503062805,81.79646680780054,46.76381720880842,53.863055014052264,55.08947086821633,54.26170140915211,1175,5
public-administration,Business,3,3,6,3,2,4,2,4,4,4,3,5,3,2,75.1951091766463,51.600928466435505,85.460522510479,45.30134750780427,78.33224265998014,67.49765553658123,59.479522887108004,55.639922064952906,49.867611132341786,60.96953430612998,1008,6
engineering-civil,Science,4,5,4,1,3,1,4,4,3,2,6,5,2,5,90.76708361543402,52.55671144820471,38.36235895877798,80.72435635407875,81.34740754415,40.55912031299442,71.67313827690552,91.87739091641703,39.9243909467904,81.76617883334401,662,18
marketing,Business,5,2,4,4,2,3,2,4,4,3,4,5,5,5,52.424788010902084,85.73362470172945,78.56438875049352,42.403859686542255,79.69804487391745,68.74277678919064,40.85711523784461,56.14074597891181,70.51634216285318,67.0364954006267,272,15
agriculture,Science,1,3,3,3,4,4,3,3,5,5,5,3,4,5,49.68797931560415,45.09173248182129,48.837333546896346,100.0,69.24496037012574,33.356436066697995,63.54540570362599,46.36579009389424,61.863732850983666,70.1703776415911,513,17
pharmacy,Science,1,4,2,4,4,4,3,5,5,3,3,3,2,5,89.75984050294052,38.44869710467599,69.30919018824352,88.6846939376513,47.43398916400539,51.7810822845696,76.23293344695459,61.213829292360835,53.699060992383,79.2111119460296,583,6
nursing,Science,1,7,2,2,4,5,3,5,2,3,3,2,4,2,46.77804033912551,29.62806205986582,66.68714164048924,83.96408502207068,53.0558019190248,98.93798745935457,44.40809003126418,53.48211038271615,50.91026521190072,66.46114730827101,850,13
psychology,Arts,3,4,3,4,4,4,1,3,4,4,3,3,4,3,75.21222289219133,49.62903010433887,75.9110090979121,40.41180020349177,61.425892227901144,90.20037290866311,46.76317443693383,63.1434606113357,66.04588822677398,73.66705863989313,774,0
economics,Business,6,5,6,1,2,1,3,2,3,3,5,5,4,3,81.8836056605028,32.53883517057274,58.69675756694491,61.78184852817185,70.56385586030883,27.447805805829795,49.02553785193556,72.24102594706012,62.88078285877221,58.855042183592246,576,23
nursing,Science,3,4,2,3,4,5,3,5,5,3,5,4,2,2,49.81882388481314,40.312232285925816,76.13799565340297,81.84366707175664,69.50943482686692,77.30910385140187,39.68994510893678,47.39924895947315,47.17226152487848,65.17226112610747,299,20
computer-science,Science,6,4,4,1,4,1,3,4,3,4,3,6,2,5,86.04377669192311,67.59287641534908,21.786359283547306,65.52927408132135,47.105346707892465,45.860038309598664,74.79775056737172,98.27851822792861,63.64440816469317,76.33234372329441,854,31
